date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-02-03,1,0,5,,,,12.2,,,
2015-02-04,0,-2,3,,,,12.6,,,
2015-02-05,0.5,-2,3,,,153,16.7,,,
2015-02-06,-1.7,-6,1,,,352,19.2,,,
2015-02-07,-4.5,-7,-2,,,317,13.4,,,
2015-02-08,-0.5,-2,2,,,240,19.4,,,
2015-02-09,-1.6,-3,-1,,,331,12.8,,,
2015-02-10,-3.9,-5,-3,,,29,16.8,,,
2015-02-11,-3.9,-6,-1,,,32,29,,,
2015-02-12,-2.3,-6,4,,,29,21.2,,,
2015-02-13,-2.8,-6,2,,,25,12.9,,,
2015-02-14,-4,-6,-1,,,,9,,,
2015-02-15,-4.8,-7,-3,,,,5.3,,,
2015-02-16,-6,-10,-3,,,22,26.4,,,
2015-02-17,-8.6,-12,-4,,,36,27.2,,,
2015-02-18,-7.8,-13,-2,,,,11.7,,,
2015-02-19,-4,-11,2,,,,11.3,,,
2015-02-20,-0.6,-3,4,,,,5.9,,,
2015-02-21,-1.3,-6,3,,,188,11.9,,,
2015-02-22,0,-6,6,,,167,12,,,
2015-02-23,3.3,-2,10,,,146,14.3,,,
2015-02-24,4.1,-1,11,,,115,18.6,,,
2015-02-25,2.5,-1,8,,,114,15.9,,,
2015-02-26,2.6,1,3,,,122,16.1,,,
2015-02-27,6.9,2,14,,,156,12.5,,,
2015-02-28,2.2,1,5,,,66,19.2,,,
2015-03-01,1.2,0,3,,,,10.2,,,
2015-03-02,1,0,2,,,,5.9,,,
2015-03-03,3.1,0,6,,,149,13.1,,,
2015-03-04,1,0,3,,,358,16.2,,,
2015-03-05,1.8,-1,5,,,313,16.4,,,
2015-03-06,2.2,-1,6,,,,5.1,,,
2015-03-07,2.2,-1,6,,,,11.6,,,
2015-03-08,1.8,-3,7,,,,5.6,,,
2015-03-09,3.7,-2,10,,,,6,,,
2015-03-10,6.4,0,14,,,,6.3,,,
2015-03-11,10,3,18,,,95,17.1,,,
2015-03-12,6.8,5,9,,,98,12.3,,,
2015-03-13,4.2,4,5,,,86,27,,,
2015-03-14,4.9,3,7,,,86,21,,,
2015-03-15,5.2,1,10,,,56,29.7,,,
2015-03-16,5.3,0,12,,,42,29.6,,,
2015-03-17,1.1,-2,6,,,58,30.5,,,
2015-03-18,2.7,-1,7,,,75,29.7,,,
2015-03-19,4.8,2,8,,,67,19.1,,,
2015-03-20,7,5,12,,,33,17.4,,,
2015-03-21,7.6,4,13,,,333,12,,,
2015-03-22,7.3,1,15,,,282,23.6,,,
2015-03-23,0,-4,4,,,31,19.2,,,
2015-03-24,1.5,-5,8,,,,10.2,,,
2015-03-25,5.1,-3,13,,,206,12.5,,,
2015-03-26,7.5,-1,15,,,,6.5,,,
2015-03-27,12,3,21,,,112,17.7,,,
2015-03-28,8,3,12,,,103,43.4,,,
2015-03-29,3.1,1,6,,,123,38.5,,,
2015-03-30,2.8,1,4,,,143,22.1,,,
2015-03-31,4.3,3,6,,,150,23.1,,,
2015-04-01,6.4,4,9,,,195,11.7,,,
2015-04-02,5.5,1,10,,,,11.1,,,
2015-04-03,4.3,0,10,,,227,16.8,,,
2015-04-04,2.2,1,4,,,115,13.7,,,
2015-04-05,4,-1,10,,,262,17,,,
2015-04-06,5.8,0,11,,,,9,,,
2015-04-07,4.8,4,7,,,57,38.9,,,
2015-04-08,5.5,4,8,,,14,22.2,,,
2015-04-09,5,1,10,,,326,27,,,
2015-04-10,8.1,2,15,,,314,15.6,,,
2015-04-11,12,4,20,,,,9.3,,,
2015-04-12,14,5,21,,,,5.4,,,
2015-04-13,14.7,8,21,,,,8,,,
2015-04-14,8.4,4,12,,,297,20.4,,,
2015-04-15,5.8,1,11,,,268,21.5,,,
2015-04-16,12.6,5,22,,,250,24.6,,,
2015-04-17,13.5,9,19,,,265,14.7,,,
2015-04-18,9.4,7,13,,,354,14.7,,,
2015-04-19,5.6,3,7,,,303,18.2,,,
2015-04-20,3.9,3,6,,,274,17.7,,,
2015-04-21,3.6,0,7,,,319,18.3,,,
2015-04-22,4.4,-1,10,,,,11.6,,,
2015-04-23,7.7,0,14,,,269,21.9,,,
2015-04-24,13.3,5,22,,,267,24.9,,,
2015-04-25,14.8,7,24,,,264,17.7,,,
2015-04-26,14.3,7,21,,,232,11.6,,,
2015-04-27,15.7,7,22,,,,8.1,,,
2015-04-28,17.3,11,24,,,,8.1,,,
2015-04-29,13.1,10,19,,,,11.6,,,
2015-04-30,15.8,11,23,,,,10.2,,,
2015-05-01,14.5,11,20,,,,8.7,,,
2015-05-02,14,12,19,,,193,11.7,,,
2015-05-03,12.1,11,14,,,184,12.4,,,
2015-05-04,12.9,10,18,,,321,19.2,,,
2015-05-05,13,7,19,,,348,12.8,,,
2015-05-06,13.9,7,20,,,0,14.6,,,
2015-05-07,15.2,9,21,,,,7.2,,,
2015-05-08,12.9,11,16,,,270,10.2,,,
2015-05-09,11.3,10,13,,,326,16.1,,,
2015-05-10,15.3,7,23,,,,9.2,,,
2015-05-11,16.7,10,23,,,,8,,,
2015-05-12,16.6,11,22,,,,6.9,,,
2015-05-13,17.6,10,24,,,,5.9,,,
2015-05-14,17.1,13,23,,,211,10.8,,,
2015-05-15,14.3,11,17,,,242,22.4,,,
2015-05-16,13.3,8,18,,,296,22.1,,,
2015-05-17,13.5,5,20,,,294,19.4,,,
2015-05-18,14.1,10,18,,,298,21.5,,,
2015-05-19,14.9,7,21,,,,14.1,,,
2015-05-20,19.3,12,26,,,,6.5,,,
2015-05-21,19.9,14,26,,,88,14.9,,,
2015-05-22,20.5,13,27,,,84,15.5,,,
2015-05-23,21,13,28,,,106,16.7,,,
2015-05-24,21.1,15,27,,,,11.6,,,
2015-05-25,22,15,29,,,54,14,,,
2015-05-26,22,16,29,,,,7.8,,,
2015-05-27,19.9,16,25,,,,9.2,,,
2015-05-28,19.3,16,24,,,,6.7,,,
2015-05-29,17.2,15,20,,,1,16.1,,,
2015-05-30,17.4,14,22,,,284,15.9,,,
2015-05-31,18,12,23,,,,10,,,
2015-06-01,19.3,13,26,,,310,15.6,,,
2015-06-02,19.5,11,27,,,314,11.6,,,
2015-06-03,21.5,15,28,,,11,9.3,,,
2015-06-04,23.1,16,31,,,,7.8,,,
2015-06-05,21.4,17,26,,,15,24.2,,,
2015-06-06,19,13,25,,,47,20.1,,,
2015-06-07,20.2,13,27,,,,8,,,
2015-06-08,23.8,15,32,,,,6.3,,,
2015-06-09,24.5,17,31,,,,10.8,,,
2015-06-10,24.1,18,30,,,30,18.8,,,
2015-06-11,23.3,18,29,,,25,13.8,,,
2015-06-12,22.2,16,28,,,6,15,,,
